Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.050293,0.296631,0.847900,-12.671756,0.519084,11.587787,3,1445474442.641725
0.044678,0.293457,0.842041,-10.961832,15.099236,-9.297709,3,1445474442.671777
0.040771,0.286377,0.851807,-6.854962,16.854961,-8.152672,3,1445474442.701723
0.038818,0.283447,0.855957,-14.885496,22.137405,-9.496183,3,1445474442.731654
0.023926,0.279053,0.861084,-22.748091,21.160305,-9.954199,3,1445474442.761726
0.020996,0.264404,0.865234,-39.557251,16.076336,-8.244275,3,1445474442.791726
0.006592,0.237061,0.851074,-43.862595,9.419847,-3.740458,3,1445474442.821865
-0.012207,0.196289,0.835449,-43.511452,12.152672,-2.702290,3,1445474442.851747
0.028809,0.221436,0.901367,-52.076336,2.656489,4.152672,3,1445474442.881694
-0.031494,0.177979,0.762695,-30.473282,14.305344,2.259542,3,1445474442.911759
-0.038330,0.147705,0.806152,-22.183207,11.480916,-6.549618,3,1445474442.942846
-0.020264,0.091797,0.864990,-12.473283,5.114504,-7.984733,3,1445474442.971886
-0.028809,0.041748,0.881836,-2.320611,-19.938931,-0.961832,3,1445474443.001700
0.021729,0.000977,1.494141,-39.862595,-35.893131,29.450382,3,1445474443.031607
0.520508,-0.041260,3.496826,-2.106870,87.709923,49.450382,3,1445474443.061738
1.268311,0.676514,2.826904,-9.099236,250.129776,30.259542,3,1445474443.091648
1.141357,-0.153564,1.385498,30.320610,250.129776,6.671756,3,1445474443.122050
1.581543,-0.400146,1.390381,-70.503815,250.129776,63.083969,3,1445474443.151718
1.214600,0.151611,1.107910,46.702290,250.129776,36.824429,3,1445474443.181732
0.606934,0.135742,-0.477051,-28.763359,15.633588,119.526718,3,1445474443.211818
0.711182,0.483643,1.223145,192.473282,-237.984726,30.671755,3,1445474443.241725
0.978760,-0.078613,0.996338,32.732826,15.633588,-25.938931,3,1445474443.271743
0.031494,-0.004150,0.753418,6.366412,-209.801529,-33.832062,3,1445474443.301822
0.370361,-0.300049,0.479492,-32.244274,-205.984726,-28.580153,3,1445474443.331568
0.031738,-0.385254,0.053223,-81.694656,15.633588,2.229008,3,1445474443.391733
0.609131,-0.266113,1.445557,-80.351143,15.633588,-7.145038,3,1445474443.421943
-1.267822,0.246094,0.223145,-127.099236,-206.809158,-215.175568,3,1445474443.451752
-3.591309,1.408447,3.999878,39.786259,229.129776,-160.595413,3,1445474443.481771
-3.553223,-0.866211,3.018066,68.809158,-62.992367,-119.572517,3,1445474443.512033
-3.503906,1.503174,1.089111,69.419846,45.312977,-105.374046,3,1445474443.541756
0.065186,0.485107,1.089355,74.824425,27.801527,-17.740458,3,1445474443.571954
0.017090,0.151611,0.986328,58.427483,64.412216,26.931297,3,1445474443.601722
